0,214
10,214
20,205
30,189
40,175
50,144
60,103
70,60
80,11
90,7
100,26
110,68
120,114
130,139
140,183
150,197
160,209
170,215
180,217
190,215
200,207
210,198
220,178
230,135
240,112
250,60
260,12
270,1
280,26
290,79
300,125
310,156
320,183
330,199
340,209
350,213
